systematic_name	goid
YAL030W	GO:0061025
YAL030W	GO:0048284
YAL030W	GO:0016050
YAL031C	GO:0005737
YAL031C	GO:0019899
YAL031C	GO:0030234
YAL031C	GO:0007059
YAL032C	GO:0071006
YAL032C	GO:0071007
YAL032C	GO:0005684
YAL032C	GO:0005634
YAL032C	GO:0071014
YAL032C	GO:0030529
YAL032C	GO:0005681
YAL032C	GO:0008380
YAL032C	GO:0006397
YAL033W	GO:0005655
YAL033W	GO:0005730
YAL033W	GO:0005634
YAL033W	GO:0000172
YAL033W	GO:0030529
YAL033W	GO:0005732
YAL033W	GO:0003723
YAL033W	GO:0016787
YAL033W	GO:0004518
YAL033W	GO:0006397
YAL033W	GO:0006364
YAL033W	GO:0043144
YAL033W	GO:0008033
YAL034C	GO:0005575
YAL034C	GO:0003674
YAL034C	GO:0008150
YAL035W	GO:0005737
YAL035W	GO:0022626
YAL035W	GO:0022627
YAL035W	GO:0033290
YAL035W	GO:0005739
YAL035W	GO:0030684
YAL035W	GO:0030687
YAL035W	GO:0030529
YAL035W	GO:0005840
YAL035W	GO:0003924
YAL035W	GO:0003723
YAL035W	GO:0016787
YAL035W	GO:0043167
YAL035W	GO:0008135
YAL035W	GO:0070925
YAL035W	GO:0006364
YAL035W	GO:0006417
YAL035W	GO:0042274
YAL035W	GO:0042255
YAL035W	GO:0006413
YAL036C	GO:0005737
YAL036C	GO:0042788
YAL036C	GO:0005844
YAL036C	GO:0030529
YAL036C	GO:0005840
YAL036C	GO:0043167
YAL036C	GO:0002181
YAL038W	GO:0005737
YAL038W	GO:0016020
YAL038W	GO:0005886
YAL038W	GO:0016301
YAL038W	GO:0016740
YAL038W	GO:0005975
YAL038W	GO:0006091
YAL038W	GO:0032787
YAL039C	GO:0005737
YAL039C	GO:0005740
YAL039C	GO:0005739
YAL039C	GO:0016829
YAL039C	GO:0070271
YAL040C	GO:0005634
YAL040C	GO:0030234
YAL040C	GO:0061025
YAL040C	GO:0000278
YAL040C	GO:0048284
YAL040C	GO:0006468
YAL040C	GO:0051726
YAL040C	GO:0031399
YAL040C	GO:0006366
YAL040C	GO:0007033
YAL041W	GO:0005933
YAL041W	GO:0005737
YAL041W	GO:0005634
YAL041W	GO:0030427
YAL041W	GO:0005085
YAL041W	GO:0000910
YAL041W	GO:0000278
YAL041W	GO:0048285
YAL041W	GO:0051726
YAL041W	GO:0033043
YAL041W	GO:0023052
YAL042W	GO:0005794
YAL042W	GO:0005737
YAL042W	GO:0016023
YAL042W	GO:0012505
YAL042W	GO:0005783
YAL042W	GO:0016020
YAL042W	GO:0003674
YAL042W	GO:0048193
YAL043C	GO:0005847
YAL043C	GO:0005849
YAL043C	GO:0005634
YAL043C	GO:0003723
YAL043C	GO:0006353
YAL043C	GO:0006397
YAL043C	GO:0008033
YAL043C	GO:0006366
YAL044C	GO:0005737
YAL044C	GO:0005960
YAL044C	GO:0005739
YAL044C	GO:0016491
YAL044C	GO:0006520
YAL047C	GO:0005737
YAL047C	GO:0005856
YAL047C	GO:0005815
YAL047C	GO:0005824
YAL047C	GO:0005819
YAL047C	GO:0000922
YAL047C	GO:0005816
YAL047C	GO:0005198
YAL047C	GO:0007059
YAL047C	GO:0007010
YAL047C	GO:0000278
YAL047C	GO:0048285
YAL047C	GO:0051726
YAL047C	GO:0033043
YAL048C	GO:0032865
YAL048C	GO:0005737
YAL048C	GO:0012505
YAL048C	GO:0005783
YAL048C	GO:0016020
YAL048C	GO:0005740
YAL048C	GO:0005739
YAL048C	GO:0003924
YAL048C	GO:0016787
YAL048C	GO:0043167
YAL048C	GO:0007005
YAL048C	GO:0048308
YAL048C	GO:0033043
YAL049C	GO:0005737
YAL049C	GO:0003674
YAL049C	GO:0008150
YAL051W	GO:0005634
YAL051W	GO:0003677
YAL051W	GO:0001071
YAL051W	GO:0006629
YAL051W	GO:0032787
YAL051W	GO:0042221
YAL051W	GO:0006366
YAL053W	GO:0005737
YAL053W	GO:0012505
YAL053W	GO:0005783
YAL053W	GO:0016020
YAL053W	GO:0022857
YAL053W	GO:0071554
YAL053W	GO:0006811
YAL053W	GO:0015931
YAL053W	GO:0006457
YAL053W	GO:0055085
YAL054C	GO:0005737
YAL054C	GO:0016020
YAL054C	GO:0005739
YAL054C	GO:0016874
YAL054C	GO:0006325
YAL054C	GO:0051186
YAL054C	GO:0006091
YAL054C	GO:0016570
YAL054C	GO:0032787
YAL054C	GO:0018193
YAL054C	GO:0043543
YAL055W	GO:0005737
YAL055W	GO:0016020
YAL055W	GO:0005777
YAL055W	GO:0030234
YAL055W	GO:0007031
YAL055W	GO:0006605
YAL055W	GO:0023052
YAL055W	GO:0055085
YAL056W	GO:0005737
YAL056W	GO:0016020
YAL056W	GO:0005739
YAL056W	GO:0005886
YAL056W	GO:0030234
YAL056W	GO:0004871
YAL056W	GO:0001403
YAL056W	GO:0051321
YAL056W	GO:0007124
YAL056W	GO:0042221
YAL056W	GO:0023052
YAL056W	GO:0043934
YAL056W	GO:0006366
YAL058W	GO:0005737
YAL058W	GO:0012505
YAL058W	GO:0005783
YAL058W	GO:0016020
YAL058W	GO:0051082
YAL058W	GO:0006457
YAL058W	GO:0051603
YAL059W	GO:0005730
YAL059W	GO:0005634
YAL059W	GO:0030684
YAL059W	GO:0030687
YAL059W	GO:0030529
YAL059W	GO:0003674
YAL059W	GO:0051169
YAL059W	GO:0000054
YAL060W	GO:0005737
YAL060W	GO:0016491
YAL062W	GO:0005737
YAL062W	GO:0005739
YAL062W	GO:0005634
YAL062W	GO:0016491
YAL062W	GO:0006520
YAL063C	GO:0005618
YAL067C	GO:0016020
YAL068C	GO:0005575
YAL068C	GO:0003674
YAL068C	GO:0051321
YAL068C	GO:0043934
YAL068C	GO:0006366
YAR002C-A	GO:0005737
YAR002C-A	GO:0016023
YAR002C-A	GO:0012505
YAR002C-A	GO:0005739
YAR002C-A	GO:0003674
YAR002C-A	GO:0048193
YAR002W	GO:0005737
YAR002W	GO:0012505
YAR002W	GO:0016020
YAR002W	GO:0005643
YAR002W	GO:0044613
YAR002W	GO:0044615
YAR002W	GO:0005634
YAR002W	GO:0043167
YAR002W	GO:0008289
YAR002W	GO:0005198
YAR002W	GO:0006281
YAR002W	GO:0006974
YAR002W	GO:0051169
YAR002W	GO:0015931
YAR002W	GO:0070647
YAR002W	GO:0006605
YAR002W	GO:0031399
YAR002W	GO:0009408
YAR003W	GO:0048188
YAR003W	GO:0005634
YAR003W	GO:0008168
YAR003W	GO:0016740
YAR003W	GO:0006325
YAR003W	GO:0016570
YAR003W	GO:0008213
YAR003W	GO:0032200
YAR007C	GO:0005662
YAR007C	GO:0005694
YAR007C	GO:0005737
YAR007C	GO:0005634
YAR007C	GO:0003677
YAR007C	GO:0003723
YAR007C	GO:0003729
YAR007C	GO:0006310
YAR007C	GO:0006281
YAR007C	GO:0006260
YAR007C	GO:0006974
YAR007C	GO:0051321
YAR007C	GO:0048285
YAR007C	GO:0070647
YAR007C	GO:0032200
YAR008W	GO:0005737
YAR008W	GO:0016020
YAR008W	GO:0005740
YAR008W	GO:0005739
YAR008W	GO:0005634
YAR008W	GO:0000214
YAR008W	GO:0016787
YAR008W	GO:0004518
YAR008W	GO:0008380
YAR008W	GO:0008033
YAR014C	GO:0005933
YAR014C	GO:0005737
YAR014C	GO:0005634
YAR014C	GO:0030427
YAR014C	GO:0030234
YAR014C	GO:0000902
YAR014C	GO:0007010
YAR014C	GO:0070271
YAR014C	GO:0033043
YAR015W	GO:0005737
YAR015W	GO:0005634
YAR015W	GO:0016874
YAR015W	GO:0055086
YAR018C	GO:0005575
YAR018C	GO:0016301
YAR018C	GO:0016740
YAR018C	GO:0007059
YAR018C	GO:0006468
YAR019C	GO:0005933
YAR019C	GO:0005737
YAR019C	GO:0005856
YAR019C	GO:0005815
YAR019C	GO:0030427
